,month,year,ts,hours_played
0,1,2013,28,0.32563555555555557
1,1,2014,536,6.8815655555555555
2,1,2015,1421,11.856900555555555
3,1,2016,341,4.005748611111111
4,1,2017,811,19.022109166666667
5,1,2018,873,21.35659
6,1,2019,665,11.88778
7,1,2020,2327,46.23318666666667
8,1,2021,855,17.39782
9,1,2022,685,14.275066666666667
10,1,2023,456,13.861111388888888
11,1,2024,902,17.605085833333334
12,1,2025,570,23.004449444444443
13,2,2014,93,0.8717158333333334
14,2,2015,279,2.5747075
15,2,2016,332,7.860703055555556
16,2,2017,799,15.592218611111111
17,2,2018,1075,23.118410555555556
18,2,2019,727,12.80559388888889
19,2,2020,2045,45.04980722222222
20,2,2021,1182,14.381384166666667
21,2,2022,401,10.653733333333333
22,2,2023,435,13.520466944444445
23,2,2024,455,16.557150833333335
24,2,2025,467,21.71174583333333
25,3,2013,7,0.1165786111111111
26,3,2014,25,0.5911297222222223
27,3,2015,1425,13.809064444444445
28,3,2016,502,8.519796388888889
29,3,2017,669,22.11680888888889
30,3,2018,1379,29.437825
31,3,2019,860,19.19343888888889
32,3,2020,1806,29.105528888888887
33,3,2021,529,12.108388333333334
34,3,2022,668,17.460625833333335
35,3,2023,1051,26.062100555555556
36,3,2024,611,23.186765277777777
37,3,2025,141,8.843996944444445
38,4,2013,78,1.5323555555555555
39,4,2014,305,3.498725
40,4,2015,570,5.751650277777777
41,4,2016,332,7.592685833333333
42,4,2017,705,18.61129083333333
43,4,2018,1002,20.54239972222222
44,4,2019,973,21.1838275
45,4,2020,1774,24.43268722222222
46,4,2021,397,10.37623
47,4,2022,494,9.983029166666666
48,4,2023,731,18.467337222222223
49,4,2024,478,19.888874166666668
50,5,2014,538,6.047348333333334
51,5,2015,533,6.157946944444444
52,5,2016,332,7.528423888888889
53,5,2017,1158,24.24343222222222
54,5,2018,775,16.105665555555557
55,5,2019,949,22.940225277777778
56,5,2020,1938,35.93190666666667
57,5,2021,652,13.692444166666666
58,5,2022,599,10.902688333333334
59,5,2023,629,13.308711666666667
60,5,2024,725,18.958084444444445
61,6,2014,693,4.104364166666667
62,6,2015,873,11.101164722222222
63,6,2016,536,7.044116666666667
64,6,2017,913,16.9123775
65,6,2018,591,12.054493611111111
66,6,2019,1502,35.40283194444444
67,6,2020,881,21.360871944444444
68,6,2021,1141,26.377862222222223
69,6,2022,1316,16.101243333333333
70,6,2023,318,5.414662222222222
71,6,2024,1012,29.162956944444446
72,7,2014,954,6.029555555555556
73,7,2015,519,9.210294722222223
74,7,2016,783,10.503749166666667
75,7,2017,1044,20.108385833333333
76,7,2018,489,10.961872777777778
77,7,2019,1122,28.143398333333334
78,7,2020,952,23.510784444444443
79,7,2021,753,14.610980555555555
80,7,2022,1084,24.485630555555556
81,7,2023,571,12.120825277777778
82,7,2024,906,24.921019166666667
83,8,2014,332,3.9586094444444444
84,8,2015,991,9.7720525
85,8,2016,1801,22.09470222222222
86,8,2017,1102,14.263644722222223
87,8,2018,713,15.668490833333333
88,8,2019,1374,34.43358861111111
89,8,2020,1578,29.271175
90,8,2021,872,21.629686111111113
91,8,2022,2081,26.27555027777778
92,8,2023,493,11.835294166666667
93,8,2024,565,17.195706666666666
94,9,2011,148,0.7643763888888889
95,9,2013,90,0.23539361111111112
96,9,2014,186,3.7245358333333334
97,9,2015,897,9.5273225
98,9,2016,2246,29.788111944444445
99,9,2017,770,18.27512722222222
100,9,2018,718,14.124874166666666
101,9,2019,1329,35.1694975
102,9,2020,861,11.43978361111111
103,9,2021,1473,26.956484444444445
104,9,2022,999,23.227275555555554
105,9,2023,423,8.238940833333332
106,9,2024,679,20.120314166666667
107,10,2011,52,0.6135361111111111
108,10,2013,400,2.097151388888889
109,10,2014,26,0.39142083333333333
110,10,2015,580,8.550823333333334
111,10,2016,588,15.587475277777777
112,10,2017,516,8.715401388888889
113,10,2018,813,16.564363888888888
114,10,2019,1250,30.389704444444444
115,10,2020,799,17.838309166666665
116,10,2021,1134,27.87095888888889
117,10,2022,712,16.524999722222223
118,10,2023,654,16.5638225
119,10,2024,591,12.068430555555556
120,11,2011,2,0.015618888888888889
121,11,2012,1,0.006625
122,11,2013,391,3.0152669444444444
123,11,2014,168,1.245145
124,11,2015,276,4.485321111111111
125,11,2016,988,14.557569444444445
126,11,2017,557,10.001955277777778
127,11,2018,432,8.548094444444445
128,11,2019,685,18.0446075
129,11,2020,846,17.008280833333334
130,11,2021,546,11.350506388888888
131,11,2022,419,12.257519166666667
132,11,2023,757,9.8640725
133,11,2024,382,10.223859444444445
134,12,2012,946,6.944925277777778
135,12,2013,433,2.7078516666666665
136,12,2014,591,5.687866944444444
137,12,2015,392,6.132378888888889
138,12,2016,1462,26.02295611111111
139,12,2017,387,8.420418055555556
140,12,2018,588,13.816047777777777
141,12,2019,1560,28.215832777777777
142,12,2020,1058,19.79910472222222
143,12,2021,420,9.328978333333334
144,12,2022,1063,14.211316111111111
145,12,2023,786,19.085705277777777
146,12,2024,515,15.816824722222222
